,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fnum4,param_fnum3,param_fnum2,param_fnum1,param_epochs,param_do,param_batch_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
16,6.109283208847046,2.4317842132801895,0.20560846328735352,0.06910437616759744,32,64,64,32,25,0,50,"{'fnum4': 32, 'fnum3': 64, 'fnum2': 64, 'fnum1': 32, 'epochs': 25, 'do': 0, 'batch_size': 50}",0.9,0.9,0.9,0.85,0.9,0.89,0.020000000000000018,44,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,16.23194499015808,4.108415967043408,0.2054926872253418,0.03855801173313868,16,16,128,128,25,0,12,"{'fnum4': 16, 'fnum3': 16, 'fnum2': 128, 'fnum1': 128, 'epochs': 25, 'do': 0, 'batch_size': 12}",0.9,0.9,0.9,0.85,0.85,0.8800000000000001,0.024494897427831803,67,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,6.6987415790557865,2.0995571757013654,0.17133898735046388,0.06490623513871302,128,64,16,64,25,0,50,"{'fnum4': 128, 'fnum3': 64, 'fnum2': 16, 'fnum1': 64, 'epochs': 25, 'do': 0, 'batch_size': 50}",1.0,0.9,0.9,0.85,0.85,0.9,0.05477225575051661,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,10.314405822753907,1.4747791610948262,0.16366395950317383,0.013671607311655775,128,64,64,64,25,0.25,50,"{'fnum4': 128, 'fnum3': 64, 'fnum2': 64, 'fnum1': 64, 'epochs': 25, 'do': 0.25, 'batch_size': 50}",0.9,0.85,0.85,0.9,0.9,0.8800000000000001,0.024494897427831803,67,1.0,0.975,0.9875,0.9625,0.975,0.9800000000000001,0.012747548783981964
20,3.635593795776367,0.35519369359536906,0.16466712951660156,0.03164691051798505,128,16,16,16,25,0.25,50,"{'fnum4': 128, 'fnum3': 16, 'fnum2': 16, 'fnum1': 16, 'epochs': 25, 'do': 0.25, 'batch_size': 50}",0.9,0.85,0.9,0.85,0.85,0.8699999999999999,0.024494897427831803,90,0.9375,0.975,0.8375,0.9875,0.9625,0.9400000000000001,0.053851648071345036
21,17.791190910339356,4.070376954853177,0.28954348564147947,0.22482009333661773,16,64,128,128,25,0,50,"{'fnum4': 16, 'fnum3': 64, 'fnum2': 128, 'fnum1': 128, 'epochs': 25, 'do': 0, 'batch_size': 50}",1.0,1.0,0.9,0.85,0.85,0.9199999999999999,0.0678232998312527,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,9.991618251800537,1.7674772470998794,0.17319731712341307,0.016333286542160836,64,128,128,16,25,0,12,"{'fnum4': 64, 'fnum3': 128, 'fnum2': 128, 'fnum1': 16, 'epochs': 25, 'do': 0, 'batch_size': 12}",0.95,0.95,0.9,0.85,0.9,0.9099999999999999,0.037416573867739396,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,10.885474920272827,0.6549752894334013,0.24638810157775878,0.16548505794517923,128,128,128,64,25,0,25,"{'fnum4': 128, 'fnum3': 128, 'fnum2': 128, 'fnum1': 64, 'epochs': 25, 'do': 0, 'batch_size': 25}",0.9,0.9,0.9,0.85,0.9,0.89,0.020000000000000018,44,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,9.535855579376221,1.7571815420488595,0.16942362785339354,0.01287946358298005,16,16,64,64,25,0.25,25,"{'fnum4': 16, 'fnum3': 16, 'fnum2': 64, 'fnum1': 64, 'epochs': 25, 'do': 0.25, 'batch_size': 25}",0.95,1.0,0.9,0.85,0.85,0.9099999999999999,0.05830951894845301,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,9.479455757141114,1.9091160707298835,0.1707827091217041,0.01773927038761644,64,64,128,32,25,0,50,"{'fnum4': 64, 'fnum3': 64, 'fnum2': 128, 'fnum1': 32, 'epochs': 25, 'do': 0, 'batch_size': 50}",1.0,0.9,0.9,0.8,0.9,0.9,0.06324555320336757,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
